certificates,company,description,direct_placement,eeo,eeo_settings,end_date,end_date_readable,end_date_str,experience,facilities,healthcare_data,job_id,job_udfs,licenses,location,main_location,other_locations,page_number,pay_frequency,pay_rate,position_type,post_date,post_date_readable,post_date_str,primary_recruiter_email,primary_recruiter_name,primary_recruiter_phone,ref_no,request_type,scraped_at,screening_enabled,screenings,source_company,source_url,source_url_base,start_date,start_date_readable,start_date_str,title,working_remote
{},,Days,0,{},{},0,,,,[],{},31043547,[],{},"Cincinnati, OH",,[],,,,,1756308511000,2025-08-27 11:28:31,,,,,25-37829,searchjobsportal,113378.905310041,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist Assistant - Arc at Cincinnati,
{},,Days,0,{},{},0,,,,[],{},31043551,[],{},"Galesburg, IL",,[],,,,,1756308511000,2025-08-27 11:28:31,,,,,25-37832,searchjobsportal,113378.905340416,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Occupational Therapist Assistant - Allure of Galesburg - Renewal,
{},,Days,0,{},{},0,,,,[],{},31043542,[],{},"Fort Myers, FL",,[],,,,,1756308510000,2025-08-27 11:28:30,,,,,25-37824,searchjobsportal,113378.905370416,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Occupational Therapist,
{},,Days,0,{},{},0,,,,[],{},31043543,[],{},"Bakersfield, CA",,[],,,,,1756308510000,2025-08-27 11:28:30,,,,,25-37825,searchjobsportal,113378.905400958,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Terrio Physical Therapy and Fitness,
{},,Days,0,{},{},0,,,,[],{},31043544,[],{},"Bakersfield, CA",,[],,,,,1756308510000,2025-08-27 11:28:30,,,,,25-37826,searchjobsportal,113378.905430041,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Speech Therapist - Terrio Physical Therapy and Fitness,
{},,Variable - Days; Variable - Evenings/Nights,0,{},{},0,,,,[],{},31043561,[],{},"York, ME",,[],,,,,1756308514000,2025-08-27 11:28:34,,,,,25-37842,searchjobsportal,113385.109736166,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,CNA - Sentry Hill at York Harbor,
{},,Variable - Days,0,{},{},0,,,,[],{},31043562,[],{},"York, ME",,[],,,,,1756308514000,2025-08-27 11:28:34,,,,,25-37843,searchjobsportal,113385.109843208,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,CRMA - Sentry Hill at York Harbor,
{},,Days,0,{},{},0,,,,[],{},31043563,[],{},"Santa Monica, CA",,[],,,,,1756308514000,2025-08-27 11:28:34,,,,,25-37844,searchjobsportal,113385.109872541,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Rehab Specialists - Santa Monica,
{},,Days,0,{},{},0,,,,[],{},31043560,[],{},"Walnut Creek, CA",,[],,,,,1756308513000,2025-08-27 11:28:33,,,,,25-37841,searchjobsportal,113385.109896291,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Mammography - Bass Medical Group,
{},,Variable - Days,0,{},{},0,,,,[],{},31043558,[],{},"Pendleton, OR",,[],,,,,1756308513000,2025-08-27 11:28:33,,,,,25-37839,searchjobsportal,113385.109920708,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Occupational Therapist - Willowbrook Post Acute,
{},,Days,0,{},{},0,,,,[],{},31043559,[],{},"Greeley, CO",,[],,,,,1756308513000,2025-08-27 11:28:33,,,,,25-37840,searchjobsportal,113385.110069375,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Occupational Therapist Assistant - Pam Health Rehabilitation Hospital of Greeley,
{},,Days,0,{},{},0,,,,[],{},31043557,[],{},"Stanwood, WA",,[],,,,,1756308513000,2025-08-27 11:28:33,,,,,25-37838,searchjobsportal,113385.110137916,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Joint Academy - Stanwood,
{},,Days,0,{},{},0,,,,[],{},31043556,[],{},"Emmett, ID",,[],,,,,1756308512000,2025-08-27 11:28:32,,,,,25-37837,searchjobsportal,113385.110168375,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Mountain Land Physical Therapy - Emmett,
{},,Nights,0,{},{},0,,,,[],{},31043552,[],{},"John Day, OR",,[],,,,,1756308512000,2025-08-27 11:28:32,,,,,25-37833,searchjobsportal,113385.110192708,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,RN - L&D / float Med Surg - Blue Mountain Hospital District,
{},,Days,0,{},{},0,,,,[],{},31043555,[],{},"Dayton, OH",,[],,,,,1756308512000,2025-08-27 11:28:32,,,,,25-37836,searchjobsportal,113385.110216666,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist - Arcadia Care at Dayton,
{},,Days,0,{},{},0,,,,[],{},31043553,[],{},"Sarasota, FL",,[],,,,,1756308512000,2025-08-27 11:28:32,,,,,25-37834,searchjobsportal,113385.110240958,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist - Aspire at Beneva,
{},,Days,0,{},{},0,,,,[],{},31043554,[],{},"Washington Township, NJ",,[],,,,,1756308512000,2025-08-27 11:28:32,,,,,25-37835,searchjobsportal,113385.110264458,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Atlas Healthcare Washington Township - Enhance Therapies,
{},,Days,0,{},{},0,,,,[],{},31043548,[],{},"Cincinnati, OH",,[],,,,,1756308511000,2025-08-27 11:28:31,,,,,25-37830,searchjobsportal,113385.1102895,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist Assistant,
{},,Days,0,{},{},0,,,,[],{},31043549,[],{},"Vernon, CT",,[],,,,,1756308511000,2025-08-27 11:28:31,,,,,25-37831,searchjobsportal,113385.110310458,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist - Complete Care at Fox Hill,
{},,Days,0,{},{},0,,,,[],{},31043547,[],{},"Cincinnati, OH",,[],,,,,1756308511000,2025-08-27 11:28:31,,,,,25-37829,searchjobsportal,113385.110329083,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist Assistant - Arc at Cincinnati,
{},,Days,0,{},{},0,,,,[],{},31043546,[],{},"Tallahassee, FL",,[],,,,,1756308511000,2025-08-27 11:28:31,,,,,25-37828,searchjobsportal,113385.110346708,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist Assistant - Aspire at Tallahassee,
{},,Days,0,{},{},0,,,,[],{},31043551,[],{},"Galesburg, IL",,[],,,,,1756308511000,2025-08-27 11:28:31,,,,,25-37832,searchjobsportal,113385.110364375,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Occupational Therapist Assistant - Allure of Galesburg - Renewal,
{},,Days,0,{},{},0,,,,[],{},31043543,[],{},"Bakersfield, CA",,[],,,,,1756308510000,2025-08-27 11:28:30,,,,,25-37825,searchjobsportal,113385.110381875,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Terrio Physical Therapy and Fitness,
{},,Days,0,{},{},0,,,,[],{},31043544,[],{},"Bakersfield, CA",,[],,,,,1756308510000,2025-08-27 11:28:30,,,,,25-37826,searchjobsportal,113385.110398666,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Speech Therapist - Terrio Physical Therapy and Fitness,
{},,Days,0,{},{},0,,,,[],{},31043545,[],{},"Bakersfield, CA",,[],,,,,1756308510000,2025-08-27 11:28:30,,,,,25-37827,searchjobsportal,113385.110416208,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/searchjobsportal,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Terrio Physical Therapy and Fitness,
{},,Days,0,{},{},0,,,,[],{},31043542,[],{},"Fort Myers, FL",,[],,,,,1756308510000,2025-08-27 11:28:30,,,,,25-37824,getmore,113391.181049666,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/getmore?from=21&to=0&count=20&portaltype=1,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Occupational Therapist,
{},,Days,0,{},{},0,,,,[],{},31043539,[],{},"Lewisburg, PA",,[],,,,,1756308509000,2025-08-27 11:28:29,,,,,25-37821,getmore,113391.18116675,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/getmore?from=21&to=0&count=20&portaltype=1,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,PTA - Oak Glen Healthcare and Rehabilitation,
{},,Days,0,{},{},0,,,,[],{},31043541,[],{},"Pensacola, FL",,[],,,,,1756308509000,2025-08-27 11:28:29,,,,,25-37823,getmore,113391.18120125,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/getmore?from=21&to=0&count=20&portaltype=1,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist Assistant - Aspire at University Hills,
{},,Variable - Days,0,{},{},0,,,,[],{},31043538,[],{},"Hillsboro, ND",,[],,,,,1756308509000,2025-08-27 11:28:29,,,,,25-37820,getmore,113391.181229708,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/getmore?from=21&to=0&count=20&portaltype=1,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Occupational Therapist - Big Stone Therapies - Hillsboro,
{},,Days,0,{},{},0,,,,[],{},31043540,[],{},"Pensacola, FL",,[],,,,,1756308509000,2025-08-27 11:28:29,,,,,25-37822,getmore,113391.181258125,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/getmore?from=21&to=0&count=20&portaltype=1,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Physical Therapist - Aspire at University Hills,
{},,Variable - Days,0,{},{},0,,,,[],{},31043537,[],{},"Hibbing, MN",,[],,,,,1756308508000,2025-08-27 11:28:28,,,,,25-37819,getmore,113391.181287166,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/getmore?from=21&to=0&count=20&portaltype=1,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Allied Healthcare - Physical Therapist - Big Stone Therapies - Hibbing,
{},,Variable Shifts,0,{},{},0,,,,[],{},31043535,[],{},"Craig, CO",,[],,,,,1756308508000,2025-08-27 11:28:28,,,,,25-37817,getmore,113391.181316083,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/getmore?from=21&to=0&count=20&portaltype=1,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,PRN for specifc candidate,
{},,Variable - Days,0,{},{},0,,,,[],{},31043536,[],{},"Craig, CO",,[],,,,,1756308508000,2025-08-27 11:28:28,,,,,25-37818,getmore,113391.181345333,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/getmore?from=21&to=0&count=20&portaltype=1,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Specific Candidate,
{},,Variable Shifts,0,{},{},0,,,,[],{},31043534,[],{},"Steamboat Springs, CO",,[],,,,,1756308507000,2025-08-27 11:28:27,,,,,25-37816,getmore,113391.181374083,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/getmore?from=21&to=0&count=20&portaltype=1,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,PRN for specifc candidate,
{},,Variable Shifts,0,{},{},0,,,,[],{},31043533,[],{},"Steamboat Springs, CO",,[],,,,,1756308506000,2025-08-27 11:28:26,,,,,25-37815,getmore,113391.181406666,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/getmore?from=21&to=0&count=20&portaltype=1,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,specifc candidate,
{},,Variable - Days,0,{},{},0,,,,[],{},31043530,[],{},"Tyler, MN",,[],,,,,1756308505000,2025-08-27 11:28:25,,,,,25-37812,getmore,113391.181435166,False,[],Aloden LLC,https://ws.jobdiva.com/candPortal/rest/job/getmore?from=21&to=0&count=20&portaltype=1,https://www1.jobdiva.com/portal/?a=1tjdnwlj4hh2toxd0s7w60rx4uomoo0addgadx1d611tgt2yiouy4udiser5hj2g&compid=-1#/,1756308480000,2025-08-27 11:28:00,,Occupational Therapist - Big Stone Therapies - Tyler,
